Date,Cases (Total Δ=Daily Change),Deaths (Total Δ=Daily Change)
08/17/2020,11271: Δ=2,408: Δ=0
08/16/2020,11269: Δ=25,408: Δ=0
08/15/2020,11244: Δ=12,408: Δ=0
08/14/2020,11232: Δ=7,408: Δ=0
08/13/2020,11225: Δ=19,408: Δ=0
08/12/2020,11206: Δ=11,408: Δ=0
08/11/2020,11195: Δ=12,408: Δ=0
08/10/2020,11183: Δ=9,408: Δ=0
08/09/2020,11174: Δ=3,408: Δ=0
08/08/2020,11171: Δ=27,408: Δ=0
08/07/2020,11144: Δ=2,408: Δ=1
08/06/2020,11142: Δ=14,407: Δ=3
08/05/2020,11128: Δ=8,404: Δ=0
08/04/2020,11120: Δ=9,404: Δ=0
08/03/2020,11111: Δ=3,404: Δ=0
08/02/2020,11108: Δ=5,404: Δ=0
08/01/2020,11103: Δ=6,404: Δ=0
07/31/2020,11097: Δ=10,404: Δ=0
07/30/2020,11087: Δ=38,404: Δ=0
07/29/2020,11049: Δ=10,404: Δ=1
07/28/2020,11039: Δ=14,403: Δ=0
07/27/2020,11025: Δ=12,403: Δ=0
07/26/2020,11013: Δ=4,403: Δ=0
07/25/2020,11009: Δ=18,403: Δ=0
07/24/2020,10991: Δ=8,403: Δ=0
07/23/2020,10983: Δ=8,403: Δ=0
07/22/2020,10975: Δ=7,403: Δ=0
07/21/2020,10968: Δ=15,403: Δ=0
07/20/2020,10953: Δ=7,403: Δ=0
07/19/2020,10946: Δ=10,403: Δ=0
07/18/2020,10936: Δ=13,403: Δ=0
07/17/2020,10923: Δ=13,403: Δ=0
07/16/2020,10910: Δ=17,403: Δ=0
07/15/2020,10893: Δ=28,403: Δ=0
07/14/2020,10865: Δ=9,403: Δ=0
07/13/2020,10856: Δ=6,403: Δ=0
07/12/2020,10850: Δ=5,403: Δ=0
07/11/2020,10845: Δ=10,403: Δ=0
07/10/2020,10835: Δ=10,403: Δ=0
07/09/2020,10825: Δ=4,403: Δ=1
07/08/2020,10821: Δ=8,402: Δ=0
07/07/2020,10813: Δ=17,402: Δ=0
07/06/2020,10796: Δ=6,402: Δ=1
07/05/2020,10790: Δ=9,401: Δ=0
07/04/2020,10781: Δ=7,401: Δ=0
07/03/2020,10774: Δ=15,401: Δ=0
07/02/2020,10759: Δ=14,401: Δ=0
07/01/2020,10745: Δ=7,401: Δ=2
06/30/2020,10738: Δ=7,399: Δ=0
06/29/2020,10731: Δ=3,399: Δ=0
06/28/2020,10728: Δ=3,399: Δ=0
06/27/2020,10725: Δ=12,399: Δ=1
06/26/2020,10713: Δ=19,398: Δ=1
06/25/2020,10694: Δ=10,397: Δ=1
06/24/2020,10684: Δ=3,396: Δ=0
06/23/2020,10681: Δ=12,396: Δ=0
06/22/2020,10669: Δ=6,396: Δ=0
06/21/2020,10663: Δ=10,396: Δ=1
06/20/2020,10653: Δ=18,395: Δ=0
06/19/2020,10635: Δ=16,395: Δ=1
06/18/2020,10619: Δ=5,394: Δ=2
06/17/2020,10614: Δ=19,392: Δ=0
06/16/2020,10595: Δ=7,392: Δ=1
06/15/2020,10588: Δ=2,391: Δ=0
06/14/2020,10586: Δ=8,391: Δ=0
06/13/2020,10578: Δ=5,391: Δ=0
06/12/2020,10573: Δ=8,391: Δ=2
06/11/2020,10565: Δ=9,389: Δ=1
06/10/2020,10556: Δ=8,388: Δ=1
06/09/2020,10548: Δ=10,387: Δ=1
06/08/2020,10538: Δ=9,386: Δ=0
06/07/2020,10529: Δ=6,386: Δ=2
06/06/2020,10523: Δ=24,384: Δ=1
06/05/2020,10499: Δ=13,383: Δ=2
06/04/2020,10486: Δ=11,381: Δ=2
06/03/2020,10475: Δ=11,379: Δ=1
06/02/2020,10464: Δ=27,378: Δ=2
06/01/2020,10437: Δ=16,376: Δ=1
05/31/2020,10421: Δ=17,375: Δ=1
05/30/2020,10404: Δ=28,374: Δ=0
05/29/2020,10376: Δ=36,374: Δ=0
05/28/2020,10340: Δ=33,374: Δ=4
05/27/2020,10307: Δ=15,370: Δ=1
05/26/2020,10292: Δ=33,369: Δ=5
05/25/2020,10259: Δ=19,364: Δ=3
05/24/2020,10240: Δ=28,361: Δ=2
05/23/2020,10212: Δ=55,359: Δ=0
05/22/2020,10157: Δ=50,359: Δ=0
05/21/2020,10107: Δ=49,359: Δ=1
05/20/2020,10058: Δ=55,358: Δ=6
05/19/2020,10003: Δ=23,352: Δ=2
05/18/2020,9980: Δ=22,350: Δ=3
05/17/2020,9958: Δ=64,347: Δ=5
05/16/2020,9894: Δ=54,342: Δ=7
05/15/2020,9840: Δ=54,335: Δ=2
05/14/2020,9786: Δ=78,333: Δ=2
05/13/2020,9708: Δ=61,331: Δ=7
05/12/2020,9647: Δ=48,324: Δ=6
05/11/2020,9599: Δ=41,318: Δ=3
05/10/2020,9558: Δ=57,315: Δ=4
05/09/2020,9501: Δ=84,311: Δ=4
05/08/2020,9417: Δ=74,307: Δ=5
05/07/2020,9343: Δ=128,302: Δ=4
05/06/2020,9215: Δ=56,298: Δ=42
05/05/2020,9159: Δ=129,256: Δ=2
05/04/2020,9030: Δ=48,254: Δ=4
05/03/2020,8982: Δ=57,250: Δ=3
05/02/2020,8925: Δ=159,247: Δ=4
05/01/2020,8766: Δ=101,243: Δ=6
04/30/2020,8665: Δ=162,237: Δ=5
04/29/2020,8503: Δ=114,232: Δ=9
04/28/2020,8389: Δ=136,223: Δ=10
04/27/2020,8253: Δ=132,213: Δ=10
04/26/2020,8121: Δ=133,203: Δ=3
04/25/2020,7988: Δ=818,200: Δ=6
04/24/2020,7170: Δ=354,194: Δ=4
04/23/2020,6816: Δ=111,190: Δ=7
04/22/2020,6705: Δ=129,183: Δ=2
04/21/2020,6576: Δ=79,181: Δ=12
04/20/2020,6497: Δ=103,169: Δ=4
04/19/2020,6394: Δ=113,165: Δ=21
04/18/2020,6281: Δ=197,144: Δ=0
04/17/2020,6084: Δ=196,144: Δ=0
04/16/2020,5888: Δ=172,144: Δ=9
04/15/2020,5716: Δ=138,135: Δ=6
04/14/2020,5578: Δ=396,129: Δ=7
04/13/2020,5182: Δ=155,122: Δ=10
04/12/2020,5027: Δ=180,112: Δ=13
04/11/2020,4847: Δ=315,99: Δ=8
04/10/2020,4532: Δ=442,91: Δ=12
04/09/2020,4090: Δ=225,79: Δ=11
04/08/2020,3865: Δ=266,68: Δ=-8
04/07/2020,3599: Δ=202,76: Δ=29
04/06/2020,3397: Δ=295,47: Δ=-4
04/05/2020,3102: Δ=361,51: Δ=0
04/04/2020,2741: Δ=344,51: Δ=21
04/03/2020,2397: Δ=349,30: Δ=0
04/02/2020,2048: Δ=292,30: Δ=5
04/01/2020,1756: Δ=196,25: Δ=22
03/31/2020,1560: Δ=125,3: Δ=0
03/30/2020,1435: Δ=188,3: Δ=0
03/29/2020,1247: Δ=146,3: Δ=0
03/28/2020,1101: Δ=191,3: Δ=0
03/27/2020,910: Δ=159,3: Δ=1
03/26/2020,751: Δ=113,2: Δ=2
03/25/2020,638: Δ=140,0: Δ=0
03/24/2020,498: Δ=109,0: Δ=0
03/23/2020,389: Δ=142,0: Δ=0
03/22/2020,247: Δ=84,0: Δ=0
03/21/2020,163: Δ=79,0: Δ=0
03/20/2020,84: Δ=33,0: Δ=0
03/19/2020,51: Δ=19,0: Δ=0
03/18/2020,32: Δ=17,0: Δ=0
03/17/2020,15: Δ=4,0: Δ=0
03/16/2020,11: Δ=5,0: Δ=0
03/15/2020,6: Δ=0,0: Δ=0
03/14/2020,6: Δ=3,0: Δ=0
03/13/2020,3: Δ=2,0: Δ=0
03/12/2020,1 Δ=1,0 Δ=0
